Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-5-demoqa-1,Chrome 127.0.0.0,,,01-08-2024 18:00:09,01-08-2024 18:00:30,20.916s,PASSED
,,,,,,,
Test Cases/TC-05-ultimateqa-form/main,Chrome 127.0.0.0,,,01-08-2024 18:00:09,01-08-2024 18:00:21,12.088s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,01-08-2024 18:00:10,01-08-2024 18:00:12,2.716s,PASSED
"navigateToUrl(""https://ultimateqa.com/filling-out-forms/"")",Chrome 127.0.0.0,,,01-08-2024 18:00:12,01-08-2024 18:00:17,4.493s,PASSED
"setText(findTestObject(""Object Repository/TC-05/Page_Filling Out Forms - Ultimate QA/input_Name_et_pb_contact_name_0""), ""Jam"")",Chrome 127.0.0.0,,,01-08-2024 18:00:17,01-08-2024 18:00:19,2.004s,PASSED
"setText(findTestObject(""Object Repository/TC-05/Page_Filling Out Forms - Ultimate QA/textarea_Message_et_pb_contact_message_0""), ""Butter"")",Chrome 127.0.0.0,,,01-08-2024 18:00:19,01-08-2024 18:00:20,0.645s,PASSED
"setText(findTestObject(""Object Repository/TC-05/Page_Filling Out Forms - Ultimate QA/input_Name_et_pb_contact_name_1""), ""Sam"")",Chrome 127.0.0.0,,,01-08-2024 18:00:20,01-08-2024 18:00:20,0.649s,PASSED
"setText(findTestObject(""Object Repository/TC-05/Page_Filling Out Forms - Ultimate QA/textarea_Message_et_pb_contact_message_1""), ""Gutt"")",Chrome 127.0.0.0,,,01-08-2024 18:00:20,01-08-2024 18:00:21,0.636s,PASSED
"click(findTestObject(""Object Repository/TC-05/Page_Filling Out Forms - Ultimate QA/button_Submit""))",Chrome 127.0.0.0,,,01-08-2024 18:00:21,01-08-2024 18:00:21,0.349s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,01-08-2024 18:00:21,01-08-2024 18:00:21,0.258s,PASSED
,,,,,,,
Test Cases/TC-06-ultimateqa-price/main,Chrome 127.0.0.0,,,01-08-2024 18:00:21,01-08-2024 18:00:30,8.612s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,01-08-2024 18:00:22,01-08-2024 18:00:23,1.087s,PASSED
"navigateToUrl(""https://ultimateqa.com/automation/fake-pricing-page/"")",Chrome 127.0.0.0,,,01-08-2024 18:00:23,01-08-2024 18:00:25,1.964s,PASSED
"verifyElementText(findTestObject(""TC-06/Page_Fake pricing page - Ultimate QA/span_0""), ""$0"")",Chrome 127.0.0.0,,,01-08-2024 18:00:25,01-08-2024 18:00:27,2.556s,PASSED
"verifyElementText(findTestObject(""TC-06/Page_Fake pricing page - Ultimate QA/span_80""), ""$80"")",Chrome 127.0.0.0,,,01-08-2024 18:00:27,01-08-2024 18:00:28,0.442s,PASSED
"verifyElementText(findTestObject(""TC-06/Page_Fake pricing page - Ultimate QA/span_900""), ""$900"")",Chrome 127.0.0.0,,,01-08-2024 18:00:28,01-08-2024 18:00:30,2.250s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,01-08-2024 18:00:30,01-08-2024 18:00:30,0.210s,PASSED
