Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-7-prac-auto,Chrome 127.0.0.0,,,02-08-2024 13:27:17,02-08-2024 13:27:38,20.666s,PASSED
,,,,,,,
Test Cases/TC-22-prac-auto-form,Chrome 127.0.0.0,,,02-08-2024 13:27:17,02-08-2024 13:27:32,14.482s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 13:27:17,02-08-2024 13:27:20,2.263s,PASSED
"navigateToUrl(""https://practice-automation.com/form-fields/"")",Chrome 127.0.0.0,,,02-08-2024 13:27:20,02-08-2024 13:27:22,2.548s,PASSED
"click(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/p_Required""))",Chrome 127.0.0.0,,,02-08-2024 13:27:22,02-08-2024 13:27:23,1.103s,PASSED
"setText(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/input_Name_name-input""), ""dom"")",Chrome 127.0.0.0,,,02-08-2024 13:27:23,02-08-2024 13:27:24,0.677s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/input_password""), ""0FrbqWz3kIQ="")",Chrome 127.0.0.0,,,02-08-2024 13:27:24,02-08-2024 13:27:24,0.404s,PASSED
"scrollToElement(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/label_Water""), 0)",Chrome 127.0.0.0,,,02-08-2024 13:27:24,02-08-2024 13:27:25,0.329s,PASSED
"click(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/label_Water""))",Chrome 127.0.0.0,,,02-08-2024 13:27:25,02-08-2024 13:27:25,0.305s,PASSED
"click(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/label_Milk""))",Chrome 127.0.0.0,,,02-08-2024 13:27:25,02-08-2024 13:27:25,0.362s,PASSED
"click(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/label_Green""))",Chrome 127.0.0.0,,,02-08-2024 13:27:25,02-08-2024 13:27:26,0.346s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/select_Yes  No  Undecided""), ""yes"", true)",Chrome 127.0.0.0,,,02-08-2024 13:27:26,02-08-2024 13:27:27,1.082s,PASSED
"click(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/li_Katalon Studio""))",Chrome 127.0.0.0,,,02-08-2024 13:27:27,02-08-2024 13:27:29,2.472s,PASSED
"setText(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/input_Email_email""), ""dsil@gmail.com"")",Chrome 127.0.0.0,,,02-08-2024 13:27:29,02-08-2024 13:27:30,0.752s,PASSED
"setText(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/textarea_Message_message""), ""Hello"")",Chrome 127.0.0.0,,,02-08-2024 13:27:30,02-08-2024 13:27:31,0.669s,PASSED
"scrollToElement(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/button_Submit""), 0)",Chrome 127.0.0.0,,,02-08-2024 13:27:31,02-08-2024 13:27:31,0.297s,PASSED
"click(findTestObject(""Object Repository/TC-22/Page_Form Fields  Practice Automation/button_Submit""))",Chrome 127.0.0.0,,,02-08-2024 13:27:31,02-08-2024 13:27:31,0.324s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,02-08-2024 13:27:31,02-08-2024 13:27:32,0.253s,PASSED
,,,,,,,
Test Cases/TC-23-prac-auto-slider,Chrome 127.0.0.0,,,02-08-2024 13:27:32,02-08-2024 13:27:38,6.007s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 13:27:32,02-08-2024 13:27:33,0.950s,PASSED
"navigateToUrl(""https://practice-automation.com/tables/"")",Chrome 127.0.0.0,,,02-08-2024 13:27:33,02-08-2024 13:27:36,2.846s,PASSED
"setText(findTestObject(""Object Repository/TC-23/Page_Tables  Practice Automation/input_search""), ""india"")",Chrome 127.0.0.0,,,02-08-2024 13:27:36,02-08-2024 13:27:37,1.249s,PASSED
"verifyElementText(findTestObject(""TC-23/Page_Tables  Practice Automation/td_1,429""), ""1,429"")",Chrome 127.0.0.0,,,02-08-2024 13:27:37,02-08-2024 13:27:37,0.591s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,02-08-2024 13:27:37,02-08-2024 13:27:38,0.279s,PASSED
