Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-9-globalsqa-1,Chrome 127.0.0.0,,,02-08-2024 14:16:18,02-08-2024 14:16:46,28.642s,PASSED
,,,,,,,
Test Cases/TC-24-globalsqa-banking,Chrome 127.0.0.0,,"banking,account",02-08-2024 14:16:18,02-08-2024 14:16:29,10.646s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 14:16:18,02-08-2024 14:16:20,2.113s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 127.0.0.0,,,02-08-2024 14:16:20,02-08-2024 14:16:23,2.122s,PASSED
"click(findTestObject(""Object Repository/TC-24/Page_XYZ Bank/button_Customer Login""))",Chrome 127.0.0.0,,,02-08-2024 14:16:23,02-08-2024 14:16:25,2.006s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC-24/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""1"", true)",Chrome 127.0.0.0,,,02-08-2024 14:16:25,02-08-2024 14:16:26,1.533s,PASSED
"click(findTestObject(""Object Repository/TC-24/Page_XYZ Bank/button_Login""))",Chrome 127.0.0.0,,,02-08-2024 14:16:26,02-08-2024 14:16:26,0.310s,PASSED
"click(findTestObject(""Object Repository/TC-24/Page_XYZ Bank/button_Transactions""))",Chrome 127.0.0.0,,,02-08-2024 14:16:26,02-08-2024 14:16:27,0.787s,PASSED
"verifyElementText(findTestObject(""Object Repository/TC-24/Page_XYZ Bank/td_30""), ""30"")",Chrome 127.0.0.0,,,02-08-2024 14:16:27,02-08-2024 14:16:28,0.957s,PASSED
"click(findTestObject(""Object Repository/TC-24/Page_XYZ Bank/button_Logout""))",Chrome 127.0.0.0,,,02-08-2024 14:16:28,02-08-2024 14:16:28,0.362s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,02-08-2024 14:16:28,02-08-2024 14:16:29,0.137s,PASSED
,,,,,,,
Test Cases/TC-25-globalsqa-samplepagetest,Chrome 127.0.0.0,,,02-08-2024 14:16:29,02-08-2024 14:16:46,17.802s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,02-08-2024 14:16:29,02-08-2024 14:16:30,0.957s,PASSED
"navigateToUrl(""https://www.globalsqa.com/samplepagetest/"")",Chrome 127.0.0.0,,,02-08-2024 14:16:30,02-08-2024 14:16:37,6.904s,PASSED
"namedata = sample1.enterdata(""name"")",Chrome 127.0.0.0,,,02-08-2024 14:16:37,02-08-2024 14:16:37,0.016s,PASSED
"setText(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/input_(required)_g2599-name""), namedata)",Chrome 127.0.0.0,,,02-08-2024 14:16:37,02-08-2024 14:16:38,1.656s,PASSED
"setText(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/input_(required)_g2599-email""), ""sil@as.com"")",Chrome 127.0.0.0,,,02-08-2024 14:16:38,02-08-2024 14:16:39,0.699s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/select_0-11-33-55-77-1010""), ""1-3"", true)",Chrome 127.0.0.0,,,02-08-2024 14:16:39,02-08-2024 14:16:40,0.916s,PASSED
"click(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/input_Automation Testing_g2599-expertise""))",Chrome 127.0.0.0,,,02-08-2024 14:16:40,02-08-2024 14:16:40,0.361s,PASSED
"click(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/input_Automation Testing_g2599-expertise""))",Chrome 127.0.0.0,,,02-08-2024 14:16:40,02-08-2024 14:16:41,0.356s,PASSED
"click(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/label_Graduate""))",Chrome 127.0.0.0,,,02-08-2024 14:16:41,02-08-2024 14:16:41,0.317s,PASSED
"click(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/button_Alert Box  Click Here""))",Chrome 127.0.0.0,,,02-08-2024 14:16:41,02-08-2024 14:16:41,0.336s,PASSED
"setText(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/textarea_(required)_g2599-comment""), ""hello"")",Chrome 127.0.0.0,,,02-08-2024 14:16:41,02-08-2024 14:16:42,0.654s,PASSED
"click(findTestObject(""Object Repository/TC-25/Page_Sample Page Test - GlobalSQA/button_Submit""))",Chrome 127.0.0.0,,,02-08-2024 14:16:42,02-08-2024 14:16:46,4.237s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 127.0.0.0,,,02-08-2024 14:16:46,02-08-2024 14:16:46,0.198s,PASSED
