Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-4-demoblaze,Chrome 127.0.0.0,,,05-08-2024 19:55:50,05-08-2024 19:56:15,25.331s,PASSED
,,,,,,,
Test Cases/TC-20-demoblaze,Chrome 127.0.0.0,,,05-08-2024 19:55:50,05-08-2024 19:56:01,10.688s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,05-08-2024 19:55:51,05-08-2024 19:55:54,3.472s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,05-08-2024 19:55:54,05-08-2024 19:55:57,2.363s,PASSED
"click(findTestObject(""Object Repository/TC-20-demoblaze-product/Page_STORE/a_Iphone 6 32gb""))",Chrome 127.0.0.0,,,05-08-2024 19:55:57,05-08-2024 19:55:59,2.723s,PASSED
"verifyElementText(findTestObject(""TC-20-demoblaze-product/Page_STORE/h2_Iphone 6 32gb""), title)",Chrome 127.0.0.0,,,05-08-2024 19:55:59,05-08-2024 19:56:01,1.254s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,05-08-2024 19:56:01,05-08-2024 19:56:01,0.266s,PASSED
,,,,,,,
Test Cases/TC-21-demoblaze-contact,Chrome 127.0.0.0,,,05-08-2024 19:56:01,05-08-2024 19:56:15,14.314s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,05-08-2024 19:56:01,05-08-2024 19:56:02,1.277s,PASSED
"navigateToUrl(""https://www.demoblaze.com/cart.html"")",Chrome 127.0.0.0,,,05-08-2024 19:56:02,05-08-2024 19:56:04,1.654s,PASSED
"click(findTestObject(""Object Repository/TC-21/Page_STORE/a_Contact""))",Chrome 127.0.0.0,,,05-08-2024 19:56:04,05-08-2024 19:56:12,7.676s,PASSED
"setText(findTestObject(""Object Repository/TC-21/Page_STORE/input_Contact Email_recipient-email""), ""stesting@gmail.com"")",Chrome 127.0.0.0,,,05-08-2024 19:56:12,05-08-2024 19:56:13,0.995s,PASSED
"setText(findTestObject(""Object Repository/TC-21/Page_STORE/input_Contact Name_recipient-name""), ""tester"")",Chrome 127.0.0.0,,,05-08-2024 19:56:13,05-08-2024 19:56:13,0.767s,PASSED
"setText(findTestObject(""Object Repository/TC-21/Page_STORE/textarea_Message_message-text""), ""1234"")",Chrome 127.0.0.0,,,05-08-2024 19:56:13,05-08-2024 19:56:14,1.016s,PASSED
"click(findTestObject(""Object Repository/TC-21/Page_STORE/button_Send message""))",Chrome 127.0.0.0,,,05-08-2024 19:56:14,05-08-2024 19:56:15,0.480s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,05-08-2024 19:56:15,05-08-2024 19:56:15,0.216s,PASSED
